
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=300

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
LBFGS:   39 17:33:21     -219.035339        0.489253
LBFGS:   40 17:33:21     -219.066437        0.368181
LBFGS:   41 17:33:21     -219.091949        0.333390
LBFGS:   42 17:33:21     -219.116516        0.385259
LBFGS:   43 17:33:21     -219.135452        0.376651
LBFGS:   44 17:33:21     -219.151764        0.246331
LBFGS:   45 17:33:21     -219.163147        0.234690
LBFGS:   46 17:33:21     -219.172440        0.203310
LBFGS:   47 17:33:21     -219.180130        0.268055
LBFGS:   48 17:33:21     -219.188965        0.278579
LBFGS:   49 17:33:21     -219.198990        0.275671
LBFGS:   50 17:33:22     -219.209610        0.263034
LBFGS:   51 17:33:22     -219.232300        0.396752
LBFGS:   52 17:33:22     -219.284058        0.819776
LBFGS:   53 17:33:22     -219.265686        1.381858
